status_code,status_message,documentation,documentation_link
100,"Continue","The server has received the request headers and the client should proceed to send the request body.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/100"
101,"Switching Protocols","The server agrees to switch protocols as requested by the client.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/101"
102,"Processing","The server is processing the request but no response is available yet.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/102"
103,"Early Hints","Used to return some response headers before the final HTTP message.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/103"
200,"OK","The request has succeeded.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/200"
201,"Created","The request has been fulfilled, resulting in the creation of a new resource.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/201"
202,"Accepted","The request has been accepted for processing, but processing is not complete.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/202"
203,"Non-Authoritative Information","The server successfully processed the request but is returning information from another source.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/203"
204,"No Content","The server successfully processed the request but is not returning any content.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/204"
205,"Reset Content","The server successfully processed the request but requires the client to reset the document view.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/205"
206,"Partial Content","The server is delivering only part of the resource due to a range header sent by the client.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/206"
300,"Multiple Choices","The request has multiple possible responses, and the user or agent must choose one.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/300"
301,"Moved Permanently","The requested resource has been permanently moved to a new URL.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/301"
302,"Found","The requested resource resides temporarily under a different URL.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/302"
303,"See Other","The response to the request can be found under a different URL using a GET method.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/303"
304,"Not Modified","The resource has not been modified since the last request.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/304"
305,"Use Proxy","The requested resource must be accessed through a proxy.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/305"
307,"Temporary Redirect","The requested resource resides temporarily under a different URL, and the original method should be used.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/307"
308,"Permanent Redirect","The requested resource has been permanently moved to a new URL, and the original method should be used.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/308"
400,"Bad Request","The server cannot process the request due to a client error.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
401,"Unauthorized","The request requires user authentication.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/401"
402,"Payment Required","Reserved for future use, often associated with payment requirements.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402"
403,"Forbidden","The client does not have permission to access the requested resource.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
404,"Not Found","The server cannot find the requested resource.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
405,"Method Not Allowed","The request method is not supported for the requested resource.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/405"
406,"Not Acceptable","The server cannot produce a response matching the client's Accept headers.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/406"
407,"Proxy Authentication Required","The client must authenticate with a proxy before the request can proceed.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/407"
408,"Request Timeout","The server timed out waiting for the client's request.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/408"
409,"Conflict","The request could not be completed due to a conflict with the current state of the resource.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/409"
410,"Gone","The requested resource is no longer available and will not be available again.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/410"
411,"Length Required","The server requires a Content-Length header in the request.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/411"
412,"Precondition Failed","One or more conditions in the request header fields evaluated to false.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/412"
413,"Payload Too Large","The request entity is larger than the server is able to process.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/413"
414,"URI Too Long","The URI requested by the client is too long for the server to handle.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/414"
415,"Unsupported Media Type","The media format of the requested data is not supported by the server.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/415"
416,"Range Not Satisfiable","The range specified in the request's Range header cannot be fulfilled.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/416"
417,"Expectation Failed","The server cannot meet the requirements of the Expect request-header field.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/417"
418,"I'm a teapot","The server refuses to brew coffee because it is a teapot (April Fools' joke).","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/418"
421,"Misdirected Request","The request was directed to a server that is not able to produce a response.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/421"
422,"Unprocessable Entity","The request was well-formed but unable to be processed due to semantic errors.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422"
423,"Locked","The resource being accessed is locked.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/423"
424,"Failed Dependency","The request failed because it depended on another request that failed.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/424"
425,"Too Early","The server is unwilling to process a request that might be replayed.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/425"
426,"Upgrade Required","The client must switch to a different protocol, such as TLS/1.0.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/426"
428,"Precondition Required","The server requires the request to be conditional.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/428"
429,"Too Many Requests","The client has sent too many requests in a given amount of time.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/429"
431,"Request Header Fields Too Large","The server is unwilling to process the request because its header fields are too large.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/431"
451,"Unavailable For Legal Reasons","The resource is unavailable due to a legal demand.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/451"
500,"Internal Server Error","The server encountered an unexpected condition that prevented it from fulfilling the request.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
501,"Not Implemented","The server does not support the functionality required to fulfill the request.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/501"
502,"Bad Gateway","The server, acting as a gateway, received an invalid response from an upstream server.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"
503,"Service Unavailable","The server is temporarily unable to handle the request due to maintenance or overloading.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/503"
504,"Gateway Timeout","The server, acting as a gateway, did not receive a timely response from an upstream server.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/504"
505,"HTTP Version Not Supported","The server does not support the HTTP protocol version used in the request.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/505"
506,"Variant Also Negotiates","The server has an internal configuration error related to content negotiation.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/506"
507,"Insufficient Storage","The server is unable to store the representation needed to complete the request.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/507"
508,"Loop Detected","The server detected an infinite loop while processing the request.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/508"
510,"Not Extended","Further extensions to the request are required for the server to fulfill it.","https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/510"
